date,market_turnover_raw,sh_turnover_raw,up_count,down_count,flat_count,limit_up_count,limit_down_count,actual_limit_up_count,actual_limit_down_count,response_date
2026-01-05,254627117.0,106733416.0,4189.0,1164.0,105.0,127.0,12.0,108.0,8.0,2026-01-05
2026-01-06,280650731.0,117576870.0,4109.0,1221.0,130.0,143.0,2.0,120.0,1.0,2026-01-06
2026-01-07,285414089.0,119742279.0,2180.0,3182.0,98.0,97.0,7.0,80.0,3.0,2026-01-07
2026-01-08,280026538.0,118318875.0,3731.0,1594.0,134.0,111.0,6.0,92.0,3.0,2026-01-08
2026-01-09,312269507.0,128920597.0,3922.0,1346.0,190.0,109.0,1.0,94.0,1.0,2026-01-09
2026-01-12,360137601.0,144623012.0,4144.0,1181.0,134.0,201.0,9.0,183.0,3.0,2026-01-12
2026-01-13,365098489.0,148157421.0,1684.0,3666.0,101.0,75.0,56.0,66.0,49.0,2026-01-13
2026-01-14,394138903.0,160704123.0,2750.0,2588.0,115.0,110.0,19.0,102.0,14.0,2026-01-14
2026-01-15,290549636.0,117591509.0,2273.0,3077.0,106.0,63.0,71.0,55.0,63.0,2026-01-15
2026-01-16,302623227.0,133801728.0,2392.0,2951.0,116.0,67.0,57.0,58.0,46.0,2026-01-16
2026-01-19,270834860.0,119013781.0,3533.0,1820.0,108.0,103.0,30.0,88.0,23.0,2026-01-19
2026-01-20,277765739.0,122148562.0,2245.0,3090.0,131.0,62.0,23.0,54.0,16.0,2026-01-20
2026-01-21,260059874.0,118018455.0,3101.0,2191.0,172.0,88.0,11.0,79.0,4.0,2026-01-21
2026-01-22,269173263.0,120176421.0,3579.0,1775.0,112.0,92.0,5.0,73.0,2.0,2026-01-22
2026-01-23,308522406.0,133685705.0,3941.0,1390.0,136.0,121.0,2.0,104.0,0.0,2026-01-23
2026-01-26,324820259.0,145185984.0,1642.0,3733.0,88.0,77.0,40.0,70.0,30.0,2026-01-26
2026-01-27,289498149.0,128943237.0,1929.0,3453.0,81.0,59.0,12.0,53.0,2.0,2026-01-27
2026-01-28,296541028.0,136552605.0,1750.0,3629.0,85.0,84.0,28.0,80.0,5.0,2026-01-28
2026-01-29,323000838.0,148579539.0,1810.0,3559.0,96.0,86.0,35.0,82.0,12.0,2026-01-29
2026-01-30,283553768.0,126985568.0,2477.0,2872.0,114.0,57.0,60.0,48.0,52.0,2026-01-30
2026-02-02,258476511.0,116353265.0,822.0,4601.0,42.0,44.0,123.0,36.0,98.0,2026-02-02
2026-02-03,254423151.0,111072021.0,4857.0,531.0,78.0,83.0,22.0,70.0,9.0,2026-02-03
2026-02-04,248097116.0,106354476.0,3265.0,2119.0,85.0,77.0,14.0,68.0,5.0,2026-02-04
2026-02-05,217621951.0,94698889.0,1631.0,3706.0,132.0,56.0,23.0,44.0,15.0,2026-02-05
